,abv,ibu,name,style,ounces
0,0.05,35.0,Pub Beer,American Pale Lager,12.0
1,0.066,35.0,Devil's Cup,American Pale Ale (APA),12.0
2,0.071,35.0,Rise of the Phoenix,American IPA,12.0
3,0.09,35.0,Sinister,American Double / Imperial IPA,12.0
4,0.075,35.0,Sex and Candy,American IPA,12.0
5,0.077,35.0,Black Exodus,Oatmeal Stout,12.0
6,0.045,35.0,Lake Street Express,American Pale Ale (APA),12.0
7,0.065,35.0,Foreman,American Porter,12.0
8,0.055,35.0,Jade,American Pale Ale (APA),12.0
9,0.086,35.0,Cone Crusher,American Double / Imperial IPA,12.0
10,0.072,35.0,Sophomoric Saison,Saison / Farmhouse Ale,12.0
11,0.073,35.0,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0
12,0.069,35.0,Garce Selé,Saison / Farmhouse Ale,12.0
13,0.085,35.0,Troll Destroyer,Belgian IPA,12.0
14,0.061,60.0,Bitter Bitch,American Pale Ale (APA),12.0
15,0.06,35.0,Ginja Ninja,Cider,12.0
16,0.06,35.0,Cherried Away,Cider,12.0
17,0.06,35.0,Rhubarbarian,Cider,12.0
18,0.06,35.0,BrightCider,Cider,12.0
19,0.082,35.0,He Said Baltic-Style Porter,Baltic Porter,12.0
20,0.082,35.0,He Said Belgian-Style Tripel,Tripel,12.0
21,0.099,92.0,Lower De Boom,American Barleywine,8.4
22,0.079,45.0,Fireside Chat,Winter Warmer,12.0
23,0.079,35.0,Marooned On Hog Island,American Stout,12.0
24,0.044,42.0,Bitter American,American Pale Ale (APA),12.0
25,0.049,17.0,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0
27,0.049,17.0,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0
28,0.07,70.0,21st Amendment IPA (2006),American IPA,12.0
29,0.07,70.0,Brew Free! or Die IPA (2008),American IPA,12.0
30,0.07,70.0,Brew Free! or Die IPA (2009),American IPA,12.0
31,0.085,52.0,Special Edition: Allies Win The War!,English Strong Ale,12.0
32,0.097,94.0,Hop Crisis,American Double / Imperial IPA,12.0
33,0.044,42.0,Bitter American (2011),American Pale Ale (APA),12.0
34,0.079,45.0,Fireside Chat (2010),Winter Warmer,12.0
35,0.068,65.0,Back in Black,American Black Ale,12.0
36,0.083,35.0,Monk's Blood,Belgian Dark Ale,12.0
37,0.07,65.0,Brew Free! or Die IPA,American IPA,12.0
